Sample,LOH:1p31.1-1p22.3,LOH:1q42.12-1q42.13,LOH:2q14.3-2q23.3,LOH:5q11.1-5q14.1,LOH:5q15-5q23.1,LOH:6q12-6q22.32,LOH:8p,LOH:10q23.1-10q25,LOH:12p13.32-12p12.3,LOH:13q12.3-13q21.1,LOH:13q21.1-13q33.1,LOH:16q12.1-16q24.3,LOH:17p,LOH:18q,LOH19p13.3-19p13.2,LOH:21q22.2-21q22.3,LOH:22q11.21-22q11.22,GAIN:3q21.2-3q29,GAIN: Whole Chr 7,GAIN: 8p23.3-8p22,GAIN:8q,GAIN: 9q12-9q21.11,GAIN: Whole Chr 19,GAIN: 22q.11.1-22q11.23,HD:10q23.1-10q25.1,ETS,SPOP,indels,PGA clonal,PGA subclonal,Ploidy,Intra/inter,Number of bkpts,Chromothripsis,Kataegis,AR_group,Obs_Sim_prop,del_bridges
PD24379,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.470790117,0,0,0,0,0,1,0.15455605,0,0,0,0,283,2.493260151,0.069386546,0,1,10,0,0,1,0.289473684,1
PD24381,0,0,0,0,0,0,1,0,1,0,0,0,0.135862072,0,0.12580934,0,1,0,0,0,0,0,0.583075647,0.33539265,0,0,0,297,2.739909407,0.028862969,0,0.67,30,0,0,1,0.208333333,2
PD24382,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.106341131,0,0,1,0,355,13.95201885,0.044624792,0,0.22,60,0,0,1,0.166666667,3
PD24383,1,0,0,0,0,0,1,0.890477117,0,0,0,0,1,0,0.829041132,1,0,0,0.268935843,0,0,1,0.191079894,0.159818405,0,1,0,245,8.815203003,0.164288816,1,0.46,152,1,0,2,-0.035714286,4
PD24385,0,0,0,0,0,0,0.624806124,1,0,0,0,0,0,0,0,1,0.076802019,0,0.237454054,0.080243367,0,0,0.080805421,0,1,1,0,389,2.696227473,0.042145939,0,0.3,82,0,0,1,0.111940299,2
PD24386,0,0,1,1,1,1,0,1,1,0.914453674,0.914453674,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,726,36.20183602,0.386660886,1,0.22,84,1,1,2,-0.024390244,1
PD24388,0,0,0,0,0,1,1,1,1,0,0,0.233367827,0.214640478,1,0.118044079,1,0,1,0.144976821,0,0.805441239,0,0,0,0,1,0,361,6.915586176,0.170381351,0,0.18,80,1,1,1,0.118181818,4
PD24389,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.116367761,0,0,0.093030105,0.088936722,0,1,0,294,3.706494171,0.048590947,0,0.23,16,0,0,1,0.272727273,0
PD26324,0.085818198,0,1,1,1,1,1,1,0,1,1,0.68524225,0,1,0,0.679143697,0,1,1,0.067349787,0.139532346,0.111234006,0.072592171,0,0.171497704,0,1,667,11.46394258,0.282412681,0,0.09,174,1,1,3,-0.115714286,3
PD26325,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0.217507831,0,0.142092493,0,0.569637603,0.101224392,0,1,0,516,4.539170949,0.334058589,0,0.25,114,0,0,1,0.117283951,3
PD26326,0,0,0,0,0,0,1,0,0,0.305723491,0.305723491,0.819803257,1,0,0,0,0,0,0,0,0,1,0.123360956,0.112386843,0,1,0,176,5.323007777,0.070608151,0,0.5,24,0,0,2,0.142857143,0
PD26327,0.693182819,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.800784532,0,0,0,0,0.080541369,0,0,1,0,505,4.561850728,0.054672755,0,0.2,108,1,0,1,0.186046512,1
PD26329,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0.118377328,0,0,1,0,520,31.05323399,0.199686448,1,0.37,100,1,0,2,0.023148148,2
PD26330,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.199972641,0,0,1,1,274,4.091845427,0.010498902,0,0.5,12,0,1,2,0.040540541,1
PD26331,0,1,1,0,0,1,0.342916281,0,0,1,1,0.110871525,0,0.493306061,0,0,0,0,0,0.092828694,0,1,0,0,0,0,0,413,5.928877174,0.094870703,0,0.06,100,0,1,3,-0.134703196,0
PD26332,0,0.919391934,0,0.111340945,0.111340945,0.937501148,1,1,1,1,1,0.08830628,0.160188204,0,0.189255926,0.536472619,0,0,0,0,0,0,0,0,0,1,0,435,3.210699684,0.183665834,0,0.21,200,0,0,1,0.109929078,6
PD26333,0,1,1,0,0,0.199813322,0.239874975,0.481591577,0,1,1,0,0,0,0,1,0,0,0,0.194628118,0.194628118,0,0,0,0,1,0,384,3.899101102,0.16850564,0,0.21,52,0,0,2,0.069767442,2
PD26335,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0.089685807,0,0,0.755644649,1,0.091183639,1,0,0,0,1,1,0,438,6.473505218,0.033646972,0,0.38,110,1,0,1,0.102040816,0
PD26336,0,0,0,0,0.455465938,0,0,0,0.475380492,0,1,0,0,0,0,0,0.093839848,0,0,0,0,0.664895942,0.094772899,0,0,0,0,337,1.116002605,0.044765811,0,0.22,44,0,1,2,0.075757576,1
PD26338,1,1,1,0,0,1,1,1,0,1,1,0,0.058232317,1,0.066082026,1,0.063217318,0,1,0,0,0.492995479,1,0,0,1,0,530,9.665849845,0.082953028,0,0.15,82,1,0,2,-0.040540541,5
PD26340,0,0,0,0,0,0,0.23695486,0,0,0,0,0,0,0,0,0.418536094,0,0,0,1,0,0,0,0,0,1,0,218,1.321421429,0.011843249,0,0.2,6,-99,0,2,0.0625,0
PD26341,0,0,1,1,0,1,0,0,0.404906537,1,1,1,0,0,0,0,0.454025642,0,0.149261918,0,0.061137004,0,0.078751555,1,0,0,0,348,7.248620496,0.102318276,0,0.17,108,1,0,3,-0.165775401,1
PD26342,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.146217732,0,0,0.102374106,0,0,0,0,229,1.248553029,0.041681801,0,0.07,32,0,0,2,0.076923077,1
PD26343,0,0,0,0,0,0,1,0,0,0.182723349,0.182723349,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,592,3.877934188,0.137898247,0,0.09,12,0,0,2,0.133333333,0
PD26344,0,1,0,0,0,0,0.237840718,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.219437517,0,0,0,0,202,6.241521866,0.040569789,0,0.05,42,0,0,2,0,1
PD26345,0,0,0,1,1,1,1,1,0,0.961256268,1,0.356389302,1,1,0,0,0,0,0,1,1,0.215330582,0,0,0,1,0,634,16.66170081,0.192812726,0,0.25,104,1,0,1,0.057926829,4
PD26346,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.099146802,0,0,1,0,278,2.510818491,0.022355387,0,0,8,0,0,2,0.051724138,0
PD26347,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0.485959304,0,0,0,0,0.85545367,1,0,602,13.23136696,0.012908418,0,1,20,0,0,2,0.111111111,0
PD26348,1,0,0,0.473847676,0,1,1,1,0,0,0,1,1,0.125029011,0.268122798,0,0,0,0,0,1,0,0,0,0,0,0,518,9.491057004,0.071242894,0,0.58,142,0,1,2,0.049180328,3
PD26350,0,1,0,0,0,0,1,0,0,0.961008341,0,1,0,0,0,1,0,0,1,0,0,0.493167246,1,0,0,1,0,483,3.517082008,0.016934636,0,0.08,28,1,0,2,0.027777778,1
PD26351,0,0,0,0,0,0,0.143769111,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,393,2.564797605,0.006597446,0,0.31,34,0,1,2,-0.046875,0
PD26352,0,0,0,1,0,0.92556292,0.73695827,0,0,1,1,1,0,0,0,0,0,0,0.110599883,1,0,0.748486261,0,0,0,0,0,499,2.128792733,0.024326867,0,0.38,138,1,0,1,0.105072464,6
PD26353,0,0,0,0,0.824389122,1,0,0.366135458,0,0.424495472,0.07204992,0,0,0,0,0,0,0.099204148,0,0,0,0,0,0,0,0,0,402,2.212798683,0.068279343,0,0,48,0,0,2,-0.059210526,1
PD26354,0,0,0,0,0,0,0,0,0,1,1,0.57880895,0,0,0,0,0,1,0,0,0,0.750340015,0.088651172,0,0,1,0,255,1.314934714,0.110234686,0,0.4,70,0,0,1,0.170731707,5
PD26355,0,0,0,0.157908821,0,0,1,0.306732788,0.246701212,1,1,1,1,0.233277004,0.33881356,1,0,0.099573101,0.287924306,0,0.156634332,0,0.08488501,0.122076915,0,1,0,793,3.319869182,0.418993837,0,0.29,40,1,0,2,0.02173913,1
PD26356,0,1,0,0.923930903,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0.14069739,0,0,0,0.151000455,0.151878385,1,1,0,595,4.17197013,0.102873689,0,0.41,192,0,0,1,0.119266055,7
PD26357,0,0,0.224278687,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.072768751,0.132596576,0.068718099,0.068718099,0.650704103,0.096233856,0.073946538,0.954523187,1,0,437,2.538811446,0.356988362,0,-99,-99,-99,1,2,0.033333333,-99
PD26358,0,0,1,0,0,0,1,0.454138962,1,1,0,1,0,0,0,0,1,1,0.120935009,0,0,0.668866021,0.113136748,0.122516347,0,1,0,564,4.691860146,0.232876625,0,0.07,44,1,0,1,0.21969697,2
PD6204_Illumina,1,0,1,1,1,1,1,0,0,0.205454872,0.205454872,0,0,0,0,0,0,0,1,0.102906584,0,1,0.134559719,0.098850994,0,0,1,190,15.18610682,0.082985375,0,0.04,50,0,1,3,-0.177631579,1
PD9168,0,1,0,0,0,1,0.522840069,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,350,24.3419143,0.05756754,1,0.22,28,0,1,1,0.128787879,0
PD9169,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0.274584259,0,1,0,0,0,0,0,0,442,5.111001365,0.113633311,0,0.14,106,1,0,3,-0.18705036,4
PD9746,0,0,0,0,0,0,0,0,0,0,0,0.174405783,0,0,0,0.13580919,0,0,0,0,0,0,0,0,0,1,0,242,5.499601651,0.036503803,1,0.28,74,0,0,2,0.075949367,0
PD9749,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,520,6.685948078,0.004830142,0,0.18,60,0,0,2,0,1
PD9751,0,0,0.594862342,1,1,1,0.943088198,0,0,0.939451827,0.941206679,0.942576966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,3.14492722,0.058251172,0,0.07,44,1,0,3,-0.112903226,1
