Sample,LOH:1p31.1-1p22.3,LOH:1q42.12-1q42.13,LOH:2q14.3-2q23.3,LOH:5q11.1-5q14.1,LOH:5q15-5q23.1,LOH:6q12-6q22.32,LOH:8p,LOH:10q23.1-10q25,LOH:12p13.32-12p12.3,LOH:13q12.3-13q21.1,LOH:13q21.1-13q33.1,LOH:16q12.1-16q24.3,LOH:17p,LOH:18q,LOH19p13.3-19p13.2,LOH:21q22.2-21q22.3,LOH:22q11.21-22q11.22,GAIN:3q21.2-3q29,GAIN: Whole Chr 7,GAIN: 8p23.3-8p22,GAIN:8q,GAIN: 9q12-9q21.11,GAIN: Whole Chr 19,GAIN: 22q.11.1-22q11.23,HD:10q23.1-10q25.1,ETS,SPOP,indels,PGA clonal,PGA subclonal,Ploidy,Intra/inter,Number of bkpts,Chromothripsis,Kataegis,AR_group,Obs_Sim_prop,del_bridges
PD12829,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0.236334414,0,0,0,0,0,0,0.180269856,1,0,495,6.228333048,0.041705623,0,-99,-99,-99,0,2,0,-99
PD12830,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,641,1.967738255,0.001870225,0,0.39,32,0,1,1,0.181818182,1
PD12831,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,535,65.70120722,0.050606126,1,0.46,86,0,0,2,0.03164557,2
PD12832,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,464,7.357358556,0.051930675,0,-99,-99,0,0,1,0.227272727,-99
PD12833,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,563,14.14567367,0.046791326,1,0.36,38,0,0,2,0,2
PD12834,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,487,6.751753611,0.067385081,0,0.01,92,1,1,3,-0.11038961,0
PD12835,0,0,0,0,0,0.744794616,0.085828153,0.222423701,0.744094776,0,0,0,0.743863607,0,0,0,0,0,0,0,0,0,0,0,0,1,0,342,0.288184781,0.084453754,0,0.18,66,0,1,1,0.114583333,1
PD12837,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,420,7.437471711,0.002678356,0,0.4,14,0,1,2,0.014705882,1
PD12838,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0.739238793,1,1,0,0,0,0,0,426,25.01117366,0.099284769,0,0.21,120,0,0,2,-0.060150376,1
PD12840,0,0,0,0,0,0,0,1,0.940518732,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,2.54528939,0.064473317,0,0.1,34,0,0,2,-0.014705882,1
